ccaa,ano,esp_esp,esp_quir,g_seguros_nom,g_dental,g_paramed,g_medicos,pib_pc,ipc_seguros,g_seguros_real,g_bolsillo_total,ipc_sanidad,g_bolsillo_real,g_dental_real,g_paramed_real,g_medicos_real
castilla-la mancha,2019,42.0,163.0,84.81,346.71,73.84,,21264.0,81.374,104.2224789244722,420.55,92.16333333333334,456.3094506130421,376.1908206445079,80.11862996853412,
castilla-la mancha,2020,51.0,286.0,87.94,270.07,53.57,,19675.0,82.92066666666666,106.05317532420544,323.64,92.74125,348.9709271764183,291.2080654509185,57.76286172549972,
castilla-la mancha,2021,69.0,113.0,86.79,464.58,60.04,,21515.0,85.11941666666667,101.96263484731745,524.62,93.59558333333332,560.5179019309138,496.3695758435895,64.14832608732428,
castilla-la mancha,2022,61.0,106.0,111.71,476.27,68.08,,24156.0,87.42491666666666,127.77821730837604,544.35,94.11466666666666,578.3901906893718,506.0529000085003,72.33729068087156,
castilla-la mancha,2023,60.0,102.0,136.45,449.47,84.18,,25090.0,90.63708333333334,150.5454445154439,533.6500000000001,95.98766666666668,555.9568416775767,468.2580748221126,87.69876685546407,
castilla-la mancha,2024,60.0,113.0,156.54,611.05,199.32,,,95.01075,164.76030343934767,810.3699999999999,98.07066666666668,826.3123190080622,623.0711187850937,203.24120022296847,
cataluna,2016,138.0,173.0,365.48,404.36,71.96,64.56,28781.0,73.10133333333333,499.96352095721016,540.88,89.24675,606.0500802550233,453.0809245154585,80.63038710093083,72.3387686386339
cataluna,2017,98.0,148.0,413.57,395.34,68.89,76.38,29770.0,75.68391666666666,546.4437072165267,540.6099999999999,90.34325,598.3955635866541,437.59771759373274,76.25362160427038,84.54422438865106
cataluna,2018,91.0,151.0,448.98,427.67,83.53,73.75,30525.0,77.55024999999999,578.9536461842483,584.95,91.04125,642.5109497068638,469.7540949844165,91.74961899139127,81.00723573105599
cataluna,2019,101.0,155.0,441.18,452.7,82.32,81.75,31300.0,79.69425,553.5907546654871,616.77,91.88708333333334,671.2260065569607,492.66989829002074,89.58821742265188,88.96789084428805
cataluna,2020,152.0,190.0,481.44,385.13,66.69,,27796.0,81.23875,592.6235940360973,451.82,91.89058333333332,491.6934723996928,419.1180271464159,72.57544525327677,
cataluna,2021,93.0,156.0,499.7,510.38,90.35,132.99,30360.0,83.40616666666666,599.1163722906181,733.72,92.67075,791.7492844290135,550.745515710189,97.49570387635796,143.50806484246647
cataluna,2022,94.0,154.0,524.62,581.27,118.81,76.77,33043.0,85.5905,612.9418568649558,776.8499999999999,94.26216666666666,824.1376444773707,616.6524922512214,126.04208475298503,81.44306747316439
cataluna,2023,97.0,138.0,544.54,587.04,132.59,108.02,35600.0,89.11825,611.0308494612494,827.65,96.78925,855.1052932014661,606.5136365867077,136.98835356199166,111.6033030527667
cataluna,2024,110.0,145.0,569.98,737.29,200.45,112.5,,94.17633333333332,605.2263661429446,1050.24,98.851,1062.4475220281029,745.8599306026241,202.77994152815856,113.80764989732022
comunidad valenciana,2016,48.0,88.0,136.08,365.63,76.98,49.08,21110.0,75.20441666666666,180.9468193911484,491.69,89.03808333333332,552.224375899077,410.64450885716514,86.45738668004424,55.12248036186763
comunidad valenciana,2017,51.0,82.0,155.89,392.45,96.78,77.82,21996.0,77.97433333333333,199.9247615668404,567.05,89.90883333333333,630.6944256496859,436.4977115707949,107.6423710684712,86.55434301041981
comunidad valenciana,2018,54.0,92.0,157.58,468.96,95.91,114.68,22723.0,79.84258333333334,197.36335351540689,679.55,90.17391666666668,753.5992946962674,520.0616955937924,106.361133624191,127.1764654782841
comunidad valenciana,2019,57.0,90.0,169.39,451.44,103.4,101.36,23248.0,81.98625,206.60781533488847,656.2,90.85258333333331,722.2689503417166,496.8928603204275,113.81074286091663,111.56534716037244
comunidad valenciana,2020,97.0,125.0,173.76,370.32,79.68,59.7,20980.0,83.53166666666668,208.01691973104005,509.7,91.61658333333332,556.3403277608949,404.20629816836293,86.97115423972554,65.16287535280641
comunidad valenciana,2021,95.0,100.0,162.99,502.91,106.97,91.81,22944.0,85.7405,190.0968620430252,701.69,92.34225,759.8796867089551,544.6152763225934,115.84079876762804,99.42361161873356
comunidad valenciana,2022,87.0,88.0,174.89,539.59,128.24,198.89,24715.0,88.09716666666667,198.51943781771263,866.72,93.7005,924.9897279096698,575.8667242970956,136.86159625615662,212.26140735641752
comunidad valenciana,2023,93.0,88.0,194.97,509.94,127.23,114.03,26512.0,91.19075,213.8045799601385,751.1999999999999,95.1735,789.2953395640592,535.8004066257939,133.68216993175622,119.81276300650916
comunidad valenciana,2024,93.0,93.0,235.99,538.75,179.78,78.3,,95.31283333333334,247.59519966706125,796.8299999999999,97.71341666666666,815.4765509001237,551.3572428214823,183.98701645372824,80.13229162491334
extremadura,2016,69.0,134.0,52.1,268.63,81.14,,17616.0,74.86166666666666,69.59503083465059,349.77,94.92658333333333,368.463698700487,282.9871154813501,85.4765832191369,
extremadura,2017,74.0,146.0,49.38,258.26,47.48,,18761.0,77.60916666666667,63.62650460104584,305.74,95.00958333333334,321.79911675576585,271.8252106147187,49.973906141047166,
extremadura,2018,68.0,118.0,55.39,387.84,55.69,,19368.0,79.47833333333334,69.69194958793801,443.53,95.54708333333332,464.2004596337756,405.9150593293882,58.28540030438744,
extremadura,2019,79.0,125.0,74.73,302.56,61.6,,19863.0,81.624,91.55395471920023,364.16,95.60741666666668,380.89095249758344,316.4608045575265,64.43014794005695,
extremadura,2020,126.0,175.0,63.1,282.45,59.5,,18351.0,83.17066666666666,75.86809452050403,341.95,95.962,356.33896750797186,294.33525770617535,62.003709801796546,
extremadura,2021,64.0,145.0,78.63,365.3,82.0,,20363.0,85.37333333333333,92.1013587380915,447.3,96.45691666666666,463.7303528431952,378.7183051500541,85.01204769314107,
extremadura,2022,76.0,156.0,80.35,450.21,76.68,106.87,22250.0,87.699,91.62020091449162,633.76,96.54175,656.4621005937846,466.3371028596436,79.42677649825077,110.6982212358902
extremadura,2023,106.0,181.0,118.97,571.61,74.86,,23891.0,90.86341666666668,130.93278281229792,646.47,97.04175,666.1771866232834,589.0351317860612,77.14205483722213,
extremadura,2024,125.0,178.0,103.2,561.37,162.39,,,95.13425,108.47828200674311,723.76,98.16058333333332,737.3224316956824,571.8894294807743,165.43300221490807,
galicia,2016,47.0,68.0,107.03,389.69,89.03,45.64,21594.0,74.28783333333332,144.07473632963678,524.36,87.68116666666667,598.0303637991435,444.43979798018194,101.53833871583976,52.05222710312173
galicia,2017,47.0,66.0,96.67,404.1,68.9,81.86,22433.0,77.22816666666667,125.17453692413604,554.86,88.60866666666668,626.1915689210235,456.05019824998305,77.75763093151159,92.38373973952883
galicia,2018,45.0,62.0,104.15,381.36,85.33,41.55,23212.0,79.098,131.672102960884,508.24,89.08733333333333,570.4963668609829,428.0743240715104,95.78241575682289,46.63962703264961
